timestamp,container_name,service_name,cpu_percent,memory_usage_mb,memory_limit_mb,memory_percent,network_rx_mb,network_tx_mb,pids
2026-01-30T03:46:49.344465,docker-compose-orders-1,orders,0.16,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:49.344465,docker-compose-catalogue-db-1,catalogue-db,0.08,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:49.344465,docker-compose-rabbitmq-1,rabbitmq,4.63,112.8,7799.808,1.45,0,0,417
2026-01-30T03:46:49.344465,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:49.344465,docker-compose-shipping-1,shipping,0.17,353.7,7799.808,4.53,0,0,82
2026-01-30T03:46:49.344465,docker-compose-payment-1,payment,0.2,9.855,7799.808,0.13,0,0,30
2026-01-30T03:46:49.344465,docker-compose-user-1,user,0,9.559,7799.808,0.12,0,0,30
2026-01-30T03:46:57.052261,docker-compose-edge-router-1,edge-router,0.02,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:57.052261,docker-compose-carts-1,carts,0.23,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:57.052261,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:57.052261,docker-compose-carts-db-1,carts-db,0.37,55.26,7799.808,0.71,0,0,21
2026-01-30T03:46:57.052261,docker-compose-orders-db-1,orders-db,0.34,32.23,7799.808,0.41,0,0,21
2026-01-30T03:46:57.052261,docker-compose-front-end-1,front-end,0,64.87,7799.808,0.83,0,0,21
2026-01-30T03:46:57.052261,docker-compose-user-db-1,user-db,0.47,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:57.052261,docker-compose-orders-1,orders,0.12,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:57.052261,docker-compose-catalogue-db-1,catalogue-db,0.07,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:57.052261,docker-compose-rabbitmq-1,rabbitmq,5.8,113.9,7799.808,1.46,0,0,417
2026-01-30T03:46:57.052261,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:57.052261,docker-compose-shipping-1,shipping,0.35,353.9,7799.808,4.54,0,0,82
2026-01-30T03:46:57.052261,docker-compose-payment-1,payment,0,9.855,7799.808,0.13,0,0,30
2026-01-30T03:46:57.052261,docker-compose-user-1,user,0.12,9.559,7799.808,0.12,0,0,30
2026-01-30T03:47:04.714107,docker-compose-edge-router-1,edge-router,0.03,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:04.714107,docker-compose-carts-1,carts,0.15,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:04.714107,docker-compose-catalogue-1,catalogue,0,9.754,7799.808,0.13,0,0,30
2026-01-30T03:47:04.714107,docker-compose-carts-db-1,carts-db,0.4,55.26,7799.808,0.71,0,0,21
2026-01-30T03:47:04.714107,docker-compose-orders-db-1,orders-db,0.41,31.98,7799.808,0.41,0,0,21
2026-01-30T03:47:04.714107,docker-compose-front-end-1,front-end,0.15,65.27,7799.808,0.84,0,0,21
2026-01-30T03:47:04.714107,docker-compose-user-db-1,user-db,0.54,35.64,7799.808,0.46,0,0,18
2026-01-30T03:47:04.714107,docker-compose-orders-1,orders,0.17,367.5,7799.808,4.71,0,0,84
2026-01-30T03:47:04.714107,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:47:04.714107,docker-compose-rabbitmq-1,rabbitmq,2.07,112.3,7799.808,1.44,0,0,417
2026-01-30T03:47:04.714107,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:47:04.714107,docker-compose-shipping-1,shipping,0.16,353.7,7799.808,4.53,0,0,82
2026-01-30T03:47:04.714107,docker-compose-payment-1,payment,0,9.859,7799.808,0.13,0,0,30
2026-01-30T03:47:04.714107,docker-compose-user-1,user,0,9.562,7799.808,0.12,0,0,30
2026-01-30T03:47:12.379763,docker-compose-edge-router-1,edge-router,0.05,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:12.379763,docker-compose-carts-1,carts,0.22,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:12.379763,docker-compose-catalogue-1,catalogue,0,10,7799.808,0.13,0,0,30
2026-01-30T03:47:12.379763,docker-compose-carts-db-1,carts-db,0.44,55.26,7799.808,0.71,0,0,21
